reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.01,9
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.025,9
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.05,10
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.1,12
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.15,13
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.2,14
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.25,15
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.3,16
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.35,16
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.4,16
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.45,17
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.5,18
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.55,18
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.6,19
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.65,20
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.7,20
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.75,22
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.8,23
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.85,24
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.9,26
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.95,30
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.975,36
2025-11-22,wk inc flu hosp,-1,2025-11-15,01,quantile,0.99,43
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.01,0
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.025,0
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.05,0
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.1,0
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.15,0
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.2,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.25,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.3,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.35,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.4,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.45,1
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.5,2
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.55,2
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.6,2
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.65,2
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.7,3
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.75,3
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.8,4
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.85,4
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.9,5
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.95,7
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.975,10
2025-11-22,wk inc flu hosp,-1,2025-11-15,02,quantile,0.99,13
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.01,5
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.025,5
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.05,6
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.1,7
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.15,8
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.2,9
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.25,10
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.3,11
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.35,11
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.4,11
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.45,12
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.5,13
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.55,14
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.6,15
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.65,16
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.7,17
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.75,18
2025-11-22,wk inc flu hosp,-1,2025-11-15,04,quantile,0.8,19
